iter	Passed	Remaining
958	42772	1828
959	42803	1783
960	42858	1739
961	42907	1694
962	42949	1650
963	42984	1605
964	43021	1560
965	43087	1516
966	43127	1471
967	43177	1427
968	43230	1383
969	43276	1338
970	43333	1294
971	43373	1249
972	43406	1204
973	43442	1159
974	43520	1115
975	43579	1071
976	43621	1026
977	43672	982
978	43726	937
979	43773	893
980	43811	848
981	43851	803
982	43891	759
983	43932	714
984	43972	669
985	44015	624
986	44077	580
987	44127	535
988	44178	491
989	44218	446
990	44274	402
991	44327	357
992	44367	312
993	44425	268
994	44457	223
995	44519	178
996	44560	134
997	44598	89
998	44651	44
999	44709	0
